,Club,League,Nation,Position,Wage,Age,Apps,Caps,Total Apps
1990,Valladolid,La Liga,ESP,Midfilder,"381,000",25,170,0,170
1991,Mallorca,La Liga,ESP,Defender,"381,000",30,348,0,348
1992,Brianza,Serie A,POR,Forward,"379,000",24,150,0,150
1993,Cadiz,La Liga,ESP,Defender,"379,000",29,305,0,305
1994,Valencia,La Liga,ESP,Defender,"374,000",22,125,2,127
1995,Salento,Serie A,ITA,Defender,"369,000",22,56,0,56
1996,Cadiz,La Liga,ESP,Midfilder,"368,000",34,382,0,382
1997,Angers SCO,Ligue 1 Uber Eats,BEN,Defender,"367,000",28,210,17,227
1998,BRG,Primiera Liga,LBY,Midfilder,"365,000",26,120,40,160
1999,BRG,Primiera Liga,ESP,Forward,"365,000",22,133,2,135
2000,Tottenham,Premier League,ENG,Forward,"364,000",18,0,0,0
2001,Man City,Premier League,NOR,Midfilder,"364,000",19,1,0,1
2002,Man City,Premier League,ENG,Defender,"364,000",19,3,0,3
2003,Brentford,Premier League,ENG,Goalkeeper,"364,000",19,0,0,0
2004,Valencia,La Liga,ESP,Defender,"364,000",24,98,0,98
2005,Tottenham,Premier League,ENG,Midfilder,"364,000",18,0,0,0
2006,Torino,Serie A,FRA,Midfilder,"363,000",22,52,0,52
2007,Brest,Ligue 1 Uber Eats,FRA,Defender,"362,000",22,72,0,72
2008,Brest,Ligue 1 Uber Eats,FRA,Midfilder,"362,000",24,56,0,56
2009,Toulouse FC,Ligue 1 Uber Eats,MAR,Forward,"362,000",22,118,11,129
2010,Brest,Ligue 1 Uber Eats,FRA,Forward,"362,000",26,174,0,174
2011,AS Monaco,Ligue 1 Uber Eats,CHI,Defender,"361,000",28,176,40,216
2012,Valladolid,La Liga,ESP,Midfilder,"359,000",27,265,0,265
2013,AJ Auxerre,Ligue 1 Uber Eats,COM,Midfilder,"359,000",32,311,52,363
2014,Eintracht Frankfurt,Bundesliga,GER,Defender,"359,000",27,224,0,224
2015,Montpellier,Ligue 1 Uber Eats,FRA,Forward,"359,000",19,57,0,57
2016,Valencia,La Liga,ESP,Forward,"359,000",22,150,0,150
2017,Real Hispalis,La Liga,ESP,Defender,"357,000",22,80,1,81
2018,Clermont,Ligue 1 Uber Eats,POL,Defender,"356,000",25,219,1,220
2019,Clermont,Ligue 1 Uber Eats,FRA,Forward,"356,000",27,171,0,171
2020,Clermont,Ligue 1 Uber Eats,FRA,Defender,"356,000",25,90,0,90
2021,Almeria,La Liga,ESP,Midfilder,"355,000",30,391,0,391
2022,Sampdoria,Serie A,GRE,Defender,"355,000",29,146,6,152
2023,Torino,Serie A,ITA,Defender,"353,000",23,72,0,72
2024,Cremonese,Serie A,ITA,Midfilder,"353,000",32,400,0,400
2025,Valladolid,La Liga,ESP,Midfilder,"353,000",29,363,0,363
2026,Mallorca,La Liga,ESP,Defender,"353,000",22,119,0,119
2027,Elche,La Liga,FRA,Midfilder,"353,000",24,179,0,179
2028,Verona,Serie A,ITA,Goalkeeper,"352,000",27,125,0,125
2029,Verona,Serie A,GHA,Midfilder,"352,000",19,5,0,5
2030,BRG,Primiera Liga,FRA,Forward,"351,000",26,152,0,152
2031,OL,Ligue 1 Uber Eats,FRA,Goalkeeper,"349,000",35,322,0,322
2032,OL,Ligue 1 Uber Eats,FRA,Forward,"349,000",20,15,0,15
2033,Verona,Serie A,SWE,Defender,"349,000",23,119,0,119
2034,VfL Bochum,Bundesliga,JPN,Forward,"348,000",27,206,36,242
2035,Real San Sebastian,La Liga,ESP,Midfilder,"347,000",20,61,0,61
2036,Valencia,La Liga,ESP,Goalkeeper,"347,000",34,311,0,311
2037,VfB Stuttgart,Bundesliga,FRA,Midfilder,"345,000",20,11,0,11
2038,Espanyol,La Liga,ESP,Defender,"344,000",28,207,0,207
2039,OL,Ligue 1 Uber Eats,FRA,Defender,"344,000",19,30,0,30
2040,Mainz 05,Bundesliga,GER,Goalkeeper,"344,000",24,76,0,76
2041,BRG,Primiera Liga,POR,Midfilder,"343,000",32,414,17,431
2042,FC Nantes,Ligue 1 Uber Eats,COD,Midfilder,"343,000",26,104,15,119
2043,MRT,Primiera Liga,COL,Forward,"343,000",27,207,0,207
2044,Hertha Berlin,Bundesliga,GHA,Midfilder,"341,000",35,393,15,408
2045,Eintracht Frankfurt,Bundesliga,GER,Midfilder,"341,000",21,39,0,39
2046,Spezia,Serie A,POL,Defender,"340,000",24,156,0,156
2047,Chelsea,Premier League,ENG,Midfilder,"338,000",19,0,0,0
2048,RC Lens,Ligue 1 Uber Eats,CMR,Midfilder,"338,000",22,56,9,65
2049,RC Lens,Ligue 1 Uber Eats,MLI,Defender,"338,000",29,186,13,199
2050,Getafe,La Liga,ESP,Forward,"337,000",33,446,1,447
2051,Getafe,La Liga,ARG,Defender,"337,000",28,133,0,133
2052,Union Berlin,Bundesliga,SRB,Midfilder,"336,000",26,186,0,186
2053,Montpellier,Ligue 1 Uber Eats,FRA,Defender,"336,000",24,122,0,122
2054,Verona,Serie A,NED,Forward,"336,000",20,6,0,6
2055,VfL Bochum,Bundesliga,GER,Midfilder,"336,000",27,225,0,225
2056,Brentford,Premier League,GER,Forward,"336,000",20,51,0,51
2057,VfL Bochum,Bundesliga,GER,Forward,"336,000",29,315,0,315
2058,VfL Bochum,Bundesliga,BRA,Defender,"336,000",30,297,0,297
2059,Valladolid,La Liga,CAN,Forward,"336,000",27,209,52,261
2060,Empoli,Serie A,BEL,Defender,"336,000",20,22,0,22
2061,Atletico Pamplona,La Liga,ESP,Midfilder,"332,000",25,264,0,264
2062,Verona,Serie A,AUS,Midfilder,"332,000",26,128,19,147
2063,Angers SCO,Ligue 1 Uber Eats,FRA,Midfilder,"330,000",29,217,0,217
2064,VfL Bochum,Bundesliga,ENG,Defender,"329,000",23,53,0,53
2065,Udinese,Serie A,GNB,Forward,"328,000",24,152,0,152
2066,Fiorentina,Serie A,SRB,Defender,"328,000",23,42,5,47
2067,Verona,Serie A,POL,Defender,"328,000",27,254,8,262
2068,FC Lorient,Ligue 1 Uber Eats,FRA,Midfilder,"328,000",24,142,0,142
2069,Vallecano,La Liga,ESP,Defender,"325,000",24,152,0,152
2070,Valladolid,La Liga,ESP,Defender,"325,000",27,257,0,257
2071,LOSC,Ligue 1 Uber Eats,FRA,Defender,"325,000",21,76,0,76
2072,Villarreal,La Liga,DEN,Goalkeeper,"325,000",20,30,0,30
2073,Brest,Ligue 1 Uber Eats,MAR,Defender,"325,000",23,91,2,93
2074,OGC Nice,Ligue 1 Uber Eats,ALG,Forward,"323,000",22,62,3,65
2075,Hertha Berlin,Bundesliga,GER,Defender,"323,000",20,36,0,36
2076,BRG,Primiera Liga,POR,Forward,"321,000",28,227,0,227
2077,Clermont,Ligue 1 Uber Eats,FRA,Defender,"320,000",33,356,0,356
2078,Clermont,Ligue 1 Uber Eats,BRA,Defender,"320,000",25,91,0,91
2079,Salento,Serie A,ITA,Goalkeeper,"319,000",26,85,0,85
2080,Capitoline,Serie A,ITA,Midfilder,"319,000",20,13,0,13
2081,Salento,Serie A,ITA,Defender,"319,000",22,53,0,53
2082,Udinese,Serie A,ITA,Goalkeeper,"319,000",36,176,0,176
2083,Troyes,Ligue 1 Uber Eats,FRA,Midfilder,"319,000",20,63,0,63
2084,Rennes,Ligue 1 Uber Eats,FRA,Defender,"316,000",22,34,0,34
2085,Espanyol,La Liga,ESP,Midfilder,"315,000",26,225,0,225
2086,Vigo,La Liga,POR,Forward,"315,000",28,178,2,180
2087,Real San Sebastian,La Liga,ESP,Defender,"315,000",21,65,0,65
2088,AC Ajaccio,Ligue 1 Uber Eats,FRA,Midfilder,"315,000",37,480,0,480
2089,OL,Ligue 1 Uber Eats,BRA,Defender,"315,000",28,142,0,142
2090,VfB Stuttgart,Bundesliga,COL,Forward,"314,000",22,82,0,82
2091,SC Freiburg,Bundesliga,GER,Defender,"314,000",30,202,0,202
2092,SC Freiburg,Bundesliga,NED,Goalkeeper,"314,000",29,175,4,179
2093,BVT,Primiera Liga,SVK,Forward,"314,000",22,117,25,142
2094,FC Nantes,Ligue 1 Uber Eats,ESP,Midfilder,"314,000",25,116,0,116
2095,Newcastle,Premier League,ENG,Goalkeeper,"312,000",30,253,0,253
2096,Man City,Premier League,ENG,Forward,"312,000",20,7,0,7
2097,Man City,Premier League,NED,Goalkeeper,"312,000",18,0,0,0
2098,Brighton,Premier League,ENG,Goalkeeper,"312,000",22,33,0,33
2099,Southampton,Premier League,ESP,Defender,"312,000",18,0,0,0
2100,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,"312,000",25,81,0,81
2101,A. Bilbao,La Liga,ESP,Goalkeeper,"311,000",21,63,0,63
2102,VfL Bochum,Bundesliga,POL,Midfilder,"310,000",29,271,21,292
2103,Brest,Ligue 1 Uber Eats,FRA,Midfilder,"310,000",26,201,0,201
2104,VfL Bochum,Bundesliga,FRA,Midfilder,"310,000",36,536,0,536
2105,Brest,Ligue 1 Uber Eats,FRA,Defender,"309,000",25,171,0,171
2106,AJ Auxerre,Ligue 1 Uber Eats,FRA,Midfilder,"309,000",31,336,0,336
2107,Montpellier,Ligue 1 Uber Eats,ENG,Forward,"309,000",24,155,0,155
2108,Brest,Ligue 1 Uber Eats,ALG,Midfilder,"309,000",28,264,10,274
2109,OGC Nice,Ligue 1 Uber Eats,FRA,Midfilder,"307,000",21,55,0,55
2110,FC Nantes,Ligue 1 Uber Eats,FRA,Forward,"307,000",21,58,0,58
2111,Atletico Pamplona,La Liga,ESP,Midfilder,"304,000",28,211,0,211
2112,Girona,La Liga,ESP,Midfilder,"303,000",22,79,0,79
2113,P. Ferreira,Primiera Liga,POR,Midfilder,"303,000",20,48,0,48
2114,Sampdoria,Serie A,TUR,Midfilder,"302,000",18,13,0,13
2115,AJ Auxerre,Ligue 1 Uber Eats,GHA,Defender,"302,000",24,137,11,148
2116,Brianza,Serie A,ITA,Defender,"302,000",32,274,0,274
2117,VfL Bochum,Bundesliga,CGO,Forward,"301,000",26,167,18,185
2118,Schalke 04,Bundesliga,JPN,Midfilder,"301,000",21,29,0,29
2119,Union Berlin,Bundesliga,GER,Defender,"301,000",24,120,0,120
2120,VfB Stuttgart,Bundesliga,GER,Forward,"301,000",19,15,0,15
2121,Schalke 04,Bundesliga,GER,Defender,"301,000",22,79,0,79
2122,Real Hispalis,La Liga,CIV,Midfilder,"300,000",24,134,4,138
2123,Capitoline,Serie A,ITA,Goalkeeper,"300,000",20,0,0,0
2124,Almeria,La Liga,POR,Forward,"299,000",32,240,2,242
2125,Almeria,La Liga,FRA,Defender,"299,000",24,109,0,109
2126,Almeria,La Liga,ESP,Midfilder,"299,000",21,37,0,37
2127,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,"298,000",32,280,0,280
2128,Strasbourg,Ligue 1 Uber Eats,UKR,Defender,"298,000",27,230,26,256
2129,Cadiz,La Liga,ESP,Forward,"298,000",25,197,0,197
2130,Elche,La Liga,ESP,Midfilder,"298,000",25,175,0,175
2131,Girona,La Liga,ESP,Midfilder,"298,000",27,250,0,250
2132,Elche,La Liga,CHI,Defender,"298,000",30,287,33,320
2133,Mallorca,La Liga,SRB,Defender,"298,000",29,208,34,242
2134,Elche,La Liga,ESP,Forward,"298,000",29,317,0,317
2135,Mallorca,La Liga,GHA,Midfilder,"298,000",26,205,18,223
2136,Estoril Praia,Primiera Liga,FRA,Midfilder,"293,000",23,75,0,75
2137,Reims,Ligue 1 Uber Eats,ZIM,Midfilder,"293,000",26,150,22,172
2138,LOSC,Ligue 1 Uber Eats,SWE,Defender,"293,000",23,151,0,151
2139,BRG,Primiera Liga,BRA,Defender,"292,000",26,121,0,121
2140,Hertha Berlin,Bundesliga,DEN,Goalkeeper,"291,000",23,76,1,77
2141,FC Porto,Primiera Liga,ENG,Forward,"291,000",22,94,0,94
2142,BRG,Primiera Liga,POR,Defender,"291,000",30,300,1,301
2143,Union Berlin,Bundesliga,GER,Midfilder,"291,000",27,200,0,200
2144,Reims,Ligue 1 Uber Eats,FRA,Goalkeeper,"291,000",41,665,0,665
2145,Angers SCO,Ligue 1 Uber Eats,SEN,Midfilder,"291,000",27,197,7,204
2146,BRG,Primiera Liga,POR,Defender,"290,000",32,267,0,267
2147,FC Nantes,Ligue 1 Uber Eats,FRA,Defender,"290,000",31,359,1,360
2148,Toulouse FC,Ligue 1 Uber Eats,CHI,Defender,"289,000",25,167,13,180
2149,Brest,Ligue 1 Uber Eats,FRA,Forward,"289,000",24,109,0,109
2150,Angers SCO,Ligue 1 Uber Eats,SEN,Forward,"287,000",23,141,0,141
2151,FC Lorient,Ligue 1 Uber Eats,ITA,Goalkeeper,"287,000",34,219,0,219
2152,AJ Auxerre,Ligue 1 Uber Eats,BRA,Defender,"287,000",29,191,0,191
2153,FC Lorient,Ligue 1 Uber Eats,NGA,Midfilder,"287,000",26,132,4,136
2154,Espanyol,La Liga,ALB,Midfilder,"286,000",25,178,21,199
2155,Espanyol,La Liga,ESP,Defender,"286,000",21,49,0,49
2156,BRG,Primiera Liga,POR,Midfilder,"285,000",34,395,0,395
2157,Troyes,Ligue 1 Uber Eats,MLI,Defender,"284,000",25,122,10,132
2158,Troyes,Ligue 1 Uber Eats,FRA,Defender,"284,000",21,17,0,17
2159,Clermont,Ligue 1 Uber Eats,AUT,Midfilder,"284,000",21,73,0,73
2160,Girona,La Liga,ARG,Forward,"282,000",23,127,0,127
2161,Empoli,Serie A,ITA,Midfilder,"282,000",19,0,0,0
2162,Valencia,La Liga,ESP,Goalkeeper,"281,000",24,83,0,83
2163,AJ Auxerre,Ligue 1 Uber Eats,MLI,Midfilder,"280,000",30,303,10,313
2164,FC Porto,Primiera Liga,POR,Defender,"280,000",28,217,0,217
2165,FC Porto,Primiera Liga,POR,Goalkeeper,"280,000",30,267,1,268
2166,AC Ajaccio,Ligue 1 Uber Eats,FRA,Midfilder,"280,000",25,140,0,140
2167,AC Ajaccio,Ligue 1 Uber Eats,CMR,Defender,"280,000",24,145,0,145
2168,Reims,Ligue 1 Uber Eats,CIV,Defender,"279,000",25,76,2,78
2169,Casa Pia,Primiera Liga,JPN,Defender,"278,000",25,199,6,205
2170,Spezia,Serie A,ESP,Defender,"276,000",24,125,0,125
2171,Santa Clara,Primiera Liga,GNB,Defender,"276,000",28,202,19,221
2172,Sporting CP,Primiera Liga,ARG,Midfilder,"276,000",19,34,0,34
2173,Sporting CP,Primiera Liga,POR,Forward,"276,000",19,35,0,35
2174,SV Werder,Bundesliga,GER,Midfilder,"274,000",24,171,0,171
2175,1. FC Koln,Bundesliga,GER,Forward,"273,000",24,121,0,121
2176,AJ Auxerre,Ligue 1 Uber Eats,FRA,Forward,"272,000",26,139,0,139
2177,RC Lens,Ligue 1 Uber Eats,FRA,Defender,"270,000",25,138,0,138
2178,Clermont,Ligue 1 Uber Eats,GAB,Midfilder,"270,000",27,185,17,202
2179,Girona,La Liga,ESP,Defender,"270,000",21,45,0,45
2180,Vallecano,La Liga,ESP,Midfilder,"270,000",31,375,0,375
2181,Elche,La Liga,ESP,Midfilder,"270,000",27,277,0,277
2182,Valladolid,La Liga,URU,Defender,"270,000",28,202,0,202
2183,Borussia Dortmund,Bundesliga,ENG,Forward,"269,000",18,7,0,7
2184,1. FC Koln,Bundesliga,GER,Forward,"269,000",20,48,0,48
2185,Valladolid,La Liga,CMR,Midfilder,"269,000",24,120,17,137
2186,VfL Bochum,Bundesliga,GER,Goalkeeper,"269,000",34,211,0,211
2187,RB Leipzig,Bundesliga,NOR,Goalkeeper,"269,000",31,210,38,248
2188,Clermont,Ligue 1 Uber Eats,TUN,Forward,"269,000",27,157,27,184
2189,VfL Bochum,Bundesliga,SWE,Goalkeeper,"269,000",24,128,0,128
2190,VfB Stuttgart,Bundesliga,GER,Goalkeeper,"269,000",24,135,0,135
2191,Empoli,Serie A,NGA,Defender,"269,000",26,136,10,146
2192,Salernitana,Serie A,SVN,Midfilder,"269,000",26,269,24,293
2193,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,"268,000",23,48,0,48
2194,Cadiz,La Liga,ESP,Defender,"264,000",29,313,0,313
2195,Cadiz,La Liga,ESP,Forward,"264,000",27,183,0,183
2196,Almeria,La Liga,ESP,Goalkeeper,"263,000",32,236,0,236
2197,Empoli,Serie A,POL,Midfilder,"262,000",18,27,0,27
2198,Valladolid,La Liga,ESP,Goalkeeper,"261,000",33,268,0,268
2199,Valladolid,La Liga,ESP,Midfilder,"261,000",26,160,0,160
2200,Everton,Premier League,ENG,Goalkeeper,"260,000",38,346,0,346
2201,Troyes,Ligue 1 Uber Eats,POL,Goalkeeper,"260,000",25,165,0,165
2202,Arsenal,Premier League,ROU,Midfilder,"260,000",19,23,0,23
2203,Wolves,Premier League,JAM,Defender,"260,000",18,1,0,1
2204,Wolves,Premier League,ESP,Defender,"260,000",19,0,0,0
2205,Man UFC,Premier League,ENG,Defender,"260,000",20,18,0,18
2206,Man City,Premier League,NIR,Defender,"260,000",18,2,4,6
2207,Arsenal,Premier League,ENG,Forward,"260,000",18,2,0,2
2208,Crystal Palace,Premier League,IRL,Defender,"260,000",18,0,0,0
2209,Southampton,Premier League,ENG,Forward,"260,000",19,0,0,0
2210,Leeds,Premier League,ENG,Midfilder,"260,000",18,1,0,1
2211,AJ Auxerre,Ligue 1 Uber Eats,FRA,Midfilder,"260,000",21,98,0,98
2212,Girona,La Liga,BRA,Defender,"260,000",20,55,0,55
2213,Man UFC,Premier League,ENG,Goalkeeper,"260,000",22,77,0,77
2214,Chelsea,Premier League,NOR,Forward,"260,000",19,33,0,33
2215,Newcastle,Premier League,SCO,Defender,"260,000",20,1,0,1
2216,Aston Villa,Premier League,FIN,Goalkeeper,"260,000",20,22,0,22
2217,West Ham,Premier League,IRL,Midfilder,"260,000",20,17,0,17
2218,Nottm Forest,Premier League,USA,Forward,"260,000",20,65,0,65
2219,Wolves,Premier League,ENG,Defender,"260,000",19,47,0,47
2220,SV Werder,Bundesliga,AUT,Forward,"260,000",22,155,0,155
2221,Clermont,Ligue 1 Uber Eats,SRB,Forward,"259,000",27,190,0,190
2222,FC Lorient,Ligue 1 Uber Eats,CIV,Midfilder,"258,000",23,93,0,93
2223,FC Lorient,Ligue 1 Uber Eats,FRA,Midfilder,"258,000",20,72,0,72
2224,FC Lorient,Ligue 1 Uber Eats,BRA,Defender,"258,000",26,139,0,139
2225,AJ Auxerre,Ligue 1 Uber Eats,FRA,Defender,"258,000",29,214,0,214
2226,AJ Auxerre,Ligue 1 Uber Eats,CPV,Forward,"258,000",31,246,3,249
2227,VTSC,Primiera Liga,POR,Midfilder,"258,000",33,336,4,340
2228,Sporting CP,Primiera Liga,GHA,Midfilder,"258,000",18,7,12,19
2229,Eintracht Frankfurt,Bundesliga,GER,Goalkeeper,"258,000",33,162,0,162
2230,Brest,Ligue 1 Uber Eats,FRA,Defender,"258,000",30,243,0,243
2231,Espanyol,La Liga,ESP,Midfilder,"257,000",22,147,0,147
2232,Espanyol,La Liga,ESP,Forward,"257,000",24,144,1,145
2233,AS Monaco,Ligue 1 Uber Eats,BEL,Midfilder,"256,000",20,30,0,30
2234,FC Nantes,Ligue 1 Uber Eats,FRA,Midfilder,"255,000",26,193,0,193
2235,Troyes,Ligue 1 Uber Eats,GNB,Midfilder,"255,000",26,198,17,215
2236,Empoli,Serie A,ITA,Goalkeeper,"254,000",25,89,0,89
2237,AC Ajaccio,Ligue 1 Uber Eats,CGO,Defender,"252,000",26,115,16,131
2238,AC Ajaccio,Ligue 1 Uber Eats,BFA,Forward,"252,000",26,194,39,233
2239,Montpellier,Ligue 1 Uber Eats,SEN,Goalkeeper,"251,000",25,118,2,120
2240,Empoli,Serie A,NZL,Defender,"250,000",21,133,12,145
2241,Union Berlin,Bundesliga,POR,Defender,"248,000",23,106,0,106
2242,Atletico Pamplona,La Liga,ESP,Forward,"247,000",20,101,0,101
2243,1. FC Koln,Bundesliga,GER,Defender,"247,000",23,95,0,95
2244,FC Porto,Primiera Liga,POR,Defender,"247,000",22,68,0,68
2245,FC Porto,Primiera Liga,POR,Forward,"247,000",37,445,27,472
2246,AJ Auxerre,Ligue 1 Uber Eats,GUI,Defender,"244,000",30,169,6,175
2247,Almeria,La Liga,ESP,Defender,"244,000",23,81,0,81
2248,Almeria,La Liga,BRA,Midfilder,"244,000",20,31,0,31
2249,Vallecano,La Liga,MNE,Defender,"242,000",31,221,4,225
2250,Girona,La Liga,PER,Defender,"242,000",30,320,35,355
2251,Vallecano,La Liga,ESP,Defender,"242,000",35,438,3,441
2252,Elche,La Liga,ESP,Defender,"242,000",27,246,0,246
2253,Girona,La Liga,ESP,Midfilder,"242,000",25,177,0,177
2254,Verona,Serie A,ITA,Goalkeeper,"241,000",31,85,0,85
2255,Inter,Serie A,ITA,Goalkeeper,"241,000",39,482,0,482
2256,Salento,Serie A,FRA,Midfilder,"241,000",25,200,0,200
2257,Sassuolo,Serie A,CRO,Defender,"241,000",24,111,3,114
2258,Bayer 04,Bundesliga,GER,Goalkeeper,"241,000",29,126,0,126
2259,Famalicao,Primiera Liga,FRA,Midfilder,"240,000",23,100,0,100
2260,OGC Nice,Ligue 1 Uber Eats,POL,Goalkeeper,"237,000",22,16,0,16
2261,AJ Auxerre,Ligue 1 Uber Eats,MAR,Midfilder,"237,000",26,207,0,207
2262,SC Freiburg,Bundesliga,FRA,Defender,"236,000",20,65,0,65
2263,PTM,Primiera Liga,COL,Forward,"234,000",23,105,0,105
2264,Atletico Pamplona,La Liga,ESP,Defender,"234,000",22,84,0,84
2265,Rennes,Ligue 1 Uber Eats,FRA,Defender,"233,000",22,34,0,34
2266,Santa Clara,Primiera Liga,BRA,Forward,"232,000",25,60,0,60
2267,A. Madrid,La Liga,ESP,Midfilder,"232,000",19,3,0,3
2268,Toulouse FC,Ligue 1 Uber Eats,NOR,Goalkeeper,"231,000",24,75,0,75
2269,AJ Auxerre,Ligue 1 Uber Eats,FRA,Defender,"230,000",28,110,0,110
2270,BRG,Primiera Liga,TUR,Defender,"229,000",19,11,0,11
2271,Troyes,Ligue 1 Uber Eats,FRA,Defender,"228,000",20,33,0,33
2272,Vigo,La Liga,NOR,Forward,"227,000",22,125,1,126
2273,Fiorentina,Serie A,ITA,Midfilder,"227,000",19,4,0,4
2274,Famalicao,Primiera Liga,POR,Forward,"225,000",22,64,0,64
2275,Salento,Serie A,ISL,Midfilder,"225,000",21,82,12,94
2276,SC Freiburg,Bundesliga,GHA,Midfilder,"224,000",26,187,12,199
2277,Sassuolo,Serie A,MAR,Midfilder,"224,000",24,164,0,164
2278,Famalicao,Primiera Liga,ARG,Midfilder,"224,000",25,167,0,167
2279,FC Augsburg,Bundesliga,CRO,Forward,"224,000",20,93,0,93
2280,RB Leipzig,Bundesliga,GER,Goalkeeper,"224,000",31,296,0,296
2281,SV Werder,Bundesliga,GER,Defender,"224,000",24,136,0,136
2282,Toulouse FC,Ligue 1 Uber Eats,NED,Midfilder,"224,000",26,193,0,193
2283,Rennes,Ligue 1 Uber Eats,MAR,Forward,"224,000",21,16,0,16
2284,Reims,Ligue 1 Uber Eats,FRA,Forward,"224,000",23,80,0,80
2285,Hoffenheim,Bundesliga,GER,Midfilder,"224,000",22,88,0,88
2286,Troyes,Ligue 1 Uber Eats,FRA,Midfilder,"224,000",30,314,0,314
2287,Reims,Ligue 1 Uber Eats,NED,Midfilder,"224,000",23,153,0,153
2288,Torino,Serie A,SRB,Midfilder,"224,000",21,104,3,107
2289,Torino,Serie A,CIV,Defender,"224,000",21,72,2,74
2290,1. FC Koln,Bundesliga,GER,Midfilder,"224,000",20,56,0,56
2291,Montpellier,Ligue 1 Uber Eats,FRA,Defender,"224,000",23,54,0,54
2292,Strasbourg,Ligue 1 Uber Eats,JPN,Goalkeeper,"224,000",39,397,95,492
2293,Union Berlin,Bundesliga,DEN,Goalkeeper,"223,000",28,92,0,92
2294,Chaves,Primiera Liga,POR,Defender,"223,000",27,116,0,116
2295,Angers SCO,Ligue 1 Uber Eats,FRA,Goalkeeper,"220,000",22,38,0,38
2296,Reims,Ligue 1 Uber Eats,FRA,Forward,"220,000",22,43,0,43
2297,Valladolid,La Liga,ESP,Forward,"218,000",31,415,0,415
2298,FC Porto,Primiera Liga,POR,Forward,"217,000",21,63,0,63
2299,Brest,Ligue 1 Uber Eats,FRA,Defender,"217,000",30,306,0,306
2300,Toulouse FC,Ligue 1 Uber Eats,JPN,Forward,"217,000",26,226,3,229
2301,Angers SCO,Ligue 1 Uber Eats,ALG,Defender,"217,000",27,86,9,95
2302,Almeria,La Liga,ESP,Forward,"216,000",32,326,0,326
2303,AJ Auxerre,Ligue 1 Uber Eats,GHA,Midfilder,"215,000",24,117,2,119
2304,Mainz 05,Bundesliga,AUT,Forward,"215,000",21,73,0,73
2305,1. FC Koln,Bundesliga,GER,Defender,"215,000",26,104,0,104
2306,VfL Wolfsburg,Bundesliga,CZE,Midfilder,"215,000",18,3,0,3
2307,VfL Bochum,Bundesliga,GRE,Defender,"215,000",32,237,5,242
2308,Vallecano,La Liga,ESP,Midfilder,"215,000",26,210,0,210
2309,Elche,La Liga,COL,Defender,"215,000",29,269,5,274
2310,Mallorca,La Liga,SVK,Goalkeeper,"215,000",25,131,4,135
2311,FC Nantes,Ligue 1 Uber Eats,MLI,Defender,"214,000",30,131,10,141
2312,Clermont,Ligue 1 Uber Eats,ALG,Defender,"214,000",30,124,19,143
2313,Troyes,Ligue 1 Uber Eats,DEN,Defender,"214,000",23,98,0,98
2314,VfB Stuttgart,Bundesliga,GER,Midfilder,"213,000",20,27,0,27
2315,VTSC,Primiera Liga,POR,Goalkeeper,"213,000",27,214,0,214
2316,VTSC,Primiera Liga,POR,Midfilder,"213,000",29,277,0,277
2317,AC Ajaccio,Ligue 1 Uber Eats,GLP,Defender,"210,000",33,355,10,365
2318,Torino,Serie A,ITA,Goalkeeper,"210,000",22,69,0,69
2319,Brianza,Serie A,ARG,Defender,"209,000",19,0,0,0
2320,Brighton,Premier League,NIR,Forward,"208,000",20,0,0,0
2321,Man City,Premier League,SCO,Goalkeeper,"208,000",19,0,0,0
2322,Brentford,Premier League,ENG,Forward,"208,000",19,12,0,12
2323,Brighton,Premier League,ENG,Defender,"208,000",20,6,0,6
2324,Brighton,Premier League,NED,Defender,"208,000",22,72,0,72
2325,SV Werder,Bundesliga,ENG,Defender,"208,000",21,74,0,74
2326,Montpellier,Ligue 1 Uber Eats,FRA,Defender,"206,000",20,28,0,28
2327,Strasbourg,Ligue 1 Uber Eats,FRA,Midfilder,"206,000",24,159,0,159
2328,Cadiz,La Liga,ESP,Forward,"204,000",31,352,0,352
2329,AC Ajaccio,Ligue 1 Uber Eats,FRA,Goalkeeper,"204,000",33,305,0,305
2330,Troyes,Ligue 1 Uber Eats,SEN,Forward,"203,000",22,105,0,105
2331,VTSC,Primiera Liga,POR,Forward,"203,000",27,234,0,234
2332,BRG,Primiera Liga,BRA,Midfilder,"203,000",29,170,0,170
2333,VfB Stuttgart,Bundesliga,DEN,Defender,"202,000",22,87,0,87
2334,Vigo,La Liga,USA,Midfilder,"202,000",24,72,11,83
2335,1. FC Koln,Bundesliga,GER,Midfilder,"202,000",21,64,0,64
2336,MRT,Primiera Liga,CZE,Goalkeeper,"202,000",23,64,0,64
2337,Troyes,Ligue 1 Uber Eats,FRA,Goalkeeper,"202,000",29,183,0,183
2338,Borussia Dortmund,Bundesliga,GER,Goalkeeper,"202,000",31,219,0,219
2339,FC Augsburg,Bundesliga,GER,Defender,"202,000",22,90,0,90
2340,FC Augsburg,Bundesliga,CRO,Defender,"202,000",22,96,0,96
2341,P. Ferreira,Primiera Liga,BRA,Forward,"201,000",25,114,0,114
2342,Girona,La Liga,BRA,Forward,"200,000",20,46,0,46
