,Club,League,Nation,Position,Wage,Age,Apps,Caps,Total Apps
113,R. Madrid,La Liga,ESP,Defender,"7,984,000",30,320,29,349
114,R. Madrid,La Liga,FRA,Defender,"7,984,000",27,179,7,186
115,R. Madrid,La Liga,BRA,Defender,"7,984,000",24,132,22,154
116,Juventus,Serie A,COL,Defender,"7,983,000",34,369,113,482
117,Inter,Serie A,TUR,Midfilder,"7,983,000",28,334,72,406
118,Juventus,Serie A,BRA,Defender,"7,983,000",25,125,0,125
119,Juventus,Serie A,ITA,Midfilder,"7,983,000",24,178,37,215
120,Inter,Serie A,BIH,Forward,"7,983,000",36,576,124,700
121,Inter,Serie A,ITA,Midfilder,"7,983,000",25,224,39,263
122,Chelsea,Premier League,ESP,Defender,"7,800,000",33,499,40,539
123,Chelsea,Premier League,GER,Forward,"7,800,000",23,180,28,208
124,Chelsea,Premier League,ENG,Midfilder,"7,800,000",26,132,10,142
125,Chelsea,Premier League,CRO,Midfilder,"7,800,000",28,317,81,398
126,Chelsea,Premier League,UKR,Midfilder,"7,800,000",21,49,5,54
127,Chelsea,Premier League,USA,Midfilder,"7,800,000",23,169,51,220
128,Man UFC,Premier League,BRA,Midfilder,"7,800,000",22,91,9,100
129,Barcelona,La Liga,ESP,Midfilder,"7,738,000",19,90,12,102
130,Juventus,Serie A,ARG,Midfilder,"7,738,000",28,215,44,259
131,Juventus,Serie A,FRA,Midfilder,"7,733,000",27,260,29,289
132,Chelsea,Premier League,ESP,Goalkeeper,"7,621,000",27,272,11,283
133,Barcelona,La Liga,GER,Goalkeeper,"7,397,000",30,348,28,376
134,A. Madrid,La Liga,BEL,Defender,"7,397,000",29,294,57,351
135,A. Madrid,La Liga,ESP,Defender,"7,397,000",27,230,5,235
136,Man UFC,Premier League,AUT,Midfilder,"7,308,000",28,373,64,437
137,Borussia Dortmund,Bundesliga,GER,Defender,"7,308,000",28,285,37,322
138,Liverpool,Premier League,URU,Forward,"7,280,000",23,109,11,120
139,Liverpool,Premier League,POR,Forward,"7,280,000",25,237,27,264
140,Liverpool,Premier League,CMR,Defender,"7,280,000",31,328,27,355
141,Man UFC,Premier League,NED,Midfilder,"7,280,000",25,187,19,206
142,PSG,Ligue 1 Uber Eats,ESP,Defender,"7,222,000",29,212,11,223
143,Capitoline,Serie A,ARG,Forward,"7,182,000",28,343,34,377
144,A. Bilbao,La Liga,ESP,Midfilder,"7,173,000",36,579,2,581
